Satellite,Band,Frequency,Link Frequency,Polarity,Generic,VC,Description,SR,FEC,Service Number,Bitstream,Source,Updated,Updater,Encryption,RotateLNB
Satcom C3,C,4090,1060,V,CA,132,Showtime Women - East,9760, 3/4,12,B,artphill,10-23-03,bradley640,SorNS,
Satcom C3,C,4100,1050,H,CE,480,PIN - Infomercials,29270, 3/4,1,I,cptmocha,12-30-04,birdview,ZKorFP,
Satcom C3,C,4100,1050,H,CE,481,GAC (no sound),29270, 3/4,2,I,artphill,12-30-04,birdview,ZKorFP,
Satcom C3,C,4100,1050,H,CE,482,Great American Country,29270, 3/4,3,I,artphill,10-22-02,tholbroo,ZKorFP,
Satcom C3,C,4100,1050,H,CE,483,Test Card,29270, 3/4,4,I,artphill,12-30-04,birdview,ZKorFP,
Satcom C3,C,4100,1050,H,CE,494,MUN2,29270, 3/4,5,Q,artphill,12-30-04,birdview,ZKorFP,
Satcom C3,C,4100,1050,H,CE,495,Telemundo,29270, 3/4,6,Q,bradley640,12-30-04,birdview,ZKorFP,
Satcom C3,C,4100,1050,H,,601,NBC Cable Networks,29270, 3/4,7,Q,bradley640,01-16-04,gunwanti,ZKorFP,
Satcom C3,C,4100,1050,H,,780,PIN - Infomercials,29270, 3/4,1,I,kmason5727,09-07-02,elm_sd,ZKorFP,
Satcom C3,C,4100,1050,H,,810,Great American Country,29270, 3/4,3,I,kmason5727,09-07-02,elm_sd,ZKorFP,
Satcom C3,C,4140,1010,H,,610,Discovery Kids,19510, 3/4,2,B,DRLev,11-13-03,gunwanti,SorNS,
Satcom C3,C,4140,1010,H,,611,Discovery Military Channel,19510, 3/4,7,B,DRLev,01-13-05,boblcape,SorNS,
Satcom C3,C,4140,1010,H,,612,The Science Channel,19510, 3/4,3,B,DRLev,11-13-03,gunwanti,SorNS,
Satcom C3,C,4140,1010,H,,613,Discovery Health,19510, 3/4,1,B,kmason5727,11-13-03,gunwanti,SorNS,
Satcom C3,C,4140,1010,H,,614,Discovery Times,19510, 3/4,5,B,DRLev,11-13-03,gunwanti,SorNS,
Satcom C3,C,4140,1010,H,,615,Discovery Home and Leisure,19510, 3/4,4,B,DRLev,11-13-03,gunwanti,SorNS,
Satcom C3,C,4140,1010,H,,616,Health,19510, 3/4,8,B,artphill,01-17-04,cjsc,SorNS,
Satcom C3,C,4140,1010,H,,700,BBC America (East),19510, 3/4,6,B,DRLev,02-23-04,gunwanti,SorNS,
Satcom C3,C,4140,1010,H,,701,Discovery Español,19510, 3/4,9,B,artphill,03-04-04,alan_judd,SorNS,
Satcom C3,C,4180,970,H,,,! Combo Mode - Not for 4dtv !,29270, 3/4,,,photoman76,06-03-04,,ZKorFP,
Satcom C3,C,4180,970,H,,,Bravo,29270, 3/4,22,B,rodhew,06-03-04,,ZKorFP,
Satcom C3,C,4180,970,H,,,CNBC World,29270, 3/4,24,B,rodhew,06-03-04,,ZKorFP,
Satcom C3,C,4180,970,H,,,Color Bars,29270, 3/4,23,B,rodhew,06-03-04,,ZKorFP,
Satcom C3,C,4180,970,H,,,Color Bars,29270, 3/4,25,B,rodhew,06-03-04,,ZKorFP,
Satcom C3,C,4180,970,H,,,Color Bars,29270, 3/4,26,B,rodhew,06-03-04,,ZKorFP,
Satcom C3,C,4180,970,H,,,NBC Cable Networks Info,29270, 3/4,27,B,rodhew,06-03-04,,ZKorFP,
Satcom C4,C,3740,1410,H,CF,120,HBO2  West,19510, 3/4,1,B,artphill,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,121,HBO Signature West,19510, 3/4,2,B,artphill,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,122,Showtime 2 West,19510, 3/4,3,B,artphill,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,123,TMC West,19510, 3/4,4,B,artphill,03-05-04,ragsys,SorNS,
Satcom C4,C,3740,1410,H,CF,124,Starz!  Theatre West,19510, 3/4,5,B,bradley640,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,125,Encore Westerns West,19510, 3/4,6,B,bradley640,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,126,Encore Love Stories West,19510, 3/4,7,B,bradley640,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,127,Encore Mystery West,19510, 3/4,8,B,bradley640,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,128,History West,19510, 3/4,9,B,bradley640,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,129,Bravo,19510, 3/4,10,B,bradley640,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,130,HGTV,19510, 3/4,11,B,tholbroo,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,131,ESPN Classic,19510, 3/4,12,B,gunwanti,03-04-04,gunwanti,SorNS,
Satcom C4,C,3740,1410,H,CF,132,® DMX: Adult Contemporary,19510, 3/4,21,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,3740,1410,H,CF,133,® DMX:  Lite Classical,19510, 3/4,22,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,3740,1410,H,CF,134,® DMX:  60s Oldies,19510, 3/4,23,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,3740,1410,H,CF,135,® DMX: Classic Rock,19510, 3/4,24,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,3740,1410,H,CF,136,® DMX: Urban Beat,19510, 3/4,25,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,3740,1410,H,,400,ESPN Classic,19510, 3/4,14,B,artphill,03-02-04,gunwanti,SorNS,
Satcom C4,C,3800,1350,V,,101,STARZ!  East,19510, 3/4,4,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,102,Movie Plex West,19510, 3/4,2,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,103,Movie Plex  East,19510, 3/4,1,B,DRLev,03-16-04,gunwanti,SorNS,
Satcom C4,C,3800,1350,V,,104,STARZ! Cinema  West,19510, 3/4,3,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,105,Encore West,19510, 3/4,9,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,106,STARZ! Theater  West,19510, 3/4,6,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,107,Black STARZ!  West,19510, 3/4,7,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,108,STARZ!  Family West,19510, 3/4,8,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,,109,WAM! West,19510, 3/4,10,B,DRLev,09-07-02,elm_sd,SorNS,
Satcom C4,C,3800,1350,V,CF,183,Starz! Kids West,19510, 3/4,4,I,newstar920,11-17-03,newstar920,SorNS,
Satcom C4,C,3800,1350,V,CF,184,Starz! West[15],19510, 3/4,5,B,alan_judd,04-24-04,alan_judd,SorNS,
Satcom C4,C,3860,1290,H,CF,240,TV Guide Channel B,19510, 3/4,1,B,FBRUENJES,01-13-03,tholbroo,ZKorFP,
Satcom C4,C,3860,1290,H,CF,241,Color Bars (Various -tests),19510, 3/4,2,B,FBRUENJES,01-22-03,tholbroo,ZKorFP,
Satcom C4,C,3860,1290,H,CF,242,Color Bars (Various -tests),19510, 3/4,3,B,4dtvglens,01-22-03,tholbroo,ZKorFP,
Satcom C4,C,3860,1290,H,CF,243,Color Bars (Various -tests),19510, 3/4,4,B,4dtvglens,01-22-03,tholbroo,ZKorFP,
Satcom C4,C,3860,1290,H,CF,244,Blank,19510, 3/4,5,B,4dtvglens,09-07-02,elm_sd,ZKorFP,
Satcom C4,C,3860,1290,H,CF,245,Blank,19510, 3/4,6,B,alan_judd,01-15-04,,ZKorFP,
Satcom C4,C,3860,1290,H,CF,246,Blank,19510, 3/4,7,B,alan_judd,01-15-04,,ZKorFP,
Satcom C4,C,3960,1190,V,,,DC2 Megastream,29270, 3/4,,B,rodhew,03-02-04,,MP,
Satcom C4,C,3980,1170,H,CE,361,Color Bars(was TVG),29270, 3/4,2,I,photoman76,12-20-03,HorsPlyrBil,ZKorFP,
Satcom C4,C,3980,1170,H,CE,362,Discovery West,29270, 3/4,3,I,artphill,05-08-03,artphill,SorNS,
Satcom C4,C,3980,1170,H,CE,363,Animal Planet,29270, 3/4,4,I,artphill,05-08-03,artphill,SorNS,
Satcom C4,C,3980,1170,H,CE,364,Travel Channel,29270, 3/4,5,I,artphill,05-08-03,artphill,SorNS,
Satcom C4,C,3980,1170,H,CE,367,TLC West,29270, 3/4,8,I,artphill,05-08-03,artphill,SorNS,
Satcom C4,C,3980,1170,H,CE,369,Discovery Health West,29270, 3/4,10,I,artphill,05-08-03,artphill,SorNS,
Satcom C4,C,3980,1170,H,CE,370,Discovery HDTV (1080i),29270, 3/4,1,Q,artphill,11-02-02,jefflandwehr,SorNS,
Satcom C4,C,3980,1170,H,CE,378,BBC America West,29270, 3/4,9,I,artphill,05-08-03,artphill,SorNS,
Satcom C4,C,3980,1170,H,,600,Discovery HDTV (1080i),29270, 3/4,1,Q,tholbroo,10-27-03,tholbroo,SorNS,
Satcom C4,C,3980,1170,H,,601,Discovery West,29270, 3/4,3,I,artphill,04-30-04,birdview,SorNS,
Satcom C4,C,3980,1170,H,,602,Travel Channel,29270, 3/4,5,I,gunwanti,04-30-04,birdview,SorNS,
Satcom C4,C,3980,1170,H,,603,Animal Planet,29270, 3/4,4,I,gunwanti,04-30-04,birdview,SorNS,
Satcom C4,C,4020,1130,H,CF,400,VH1 en Espanol,19510, 3/4,1,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,401,MTV-Spanish,19510, 3/4,2,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,402,TVE,19510, 3/4,3,B,FBRUENJES,05-06-03,artphill,ZKorFP,
Satcom C4,C,4020,1130,H,CF,403,Discovery en Espanol,19510, 3/4,4,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,404,Cine Latino,19510, 3/4,5,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,405,Rio de la Plata,19510, 3/4,6,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,406,Fox Sports America,19510, 3/4,7,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,407,CNN en Espanol,19510, 3/4,8,B,FBRUENJES,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,408,Toon Disney en Espanol,19510, 3/4,9,B,artphill,09-07-02,elm_sd,SorNS,
Satcom C4,C,4020,1130,H,CF,409,HBO Latino,19510, 3/4,10,B,delizk,08-07-03,sean,SorNS,
Satcom C4,C,4020,1130,H,,860,DMX: Latin Contemporary,19510, 3/4,21,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,861,DMX: Fiesta,19510, 3/4,22,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,862,DMX: Rock en Espanol,19510, 3/4,23,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,863,DMX: Latin Jazz,19510, 3/4,24,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,864,DMX: Regional Mexican,19510, 3/4,25,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,865,DMX: Tejano,19510, 3/4,26,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,866,DMX: Salsa,19510, 3/4,27,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4020,1130,H,,867,DMX: Musica De Las Americas,19510, 3/4,28,B,artphill,08-07-03,sean,ZKorFP,
Satcom C4,C,4060,1090,H,CF,440,In Demand PPV,19510, 3/4,1,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,441,In Demand PPV Previews,19510, 3/4,2,B,tholbroo,07-08-03,eph2,ZKorFP,
Satcom C4,C,4060,1090,H,CF,447,In Demand PPV,19510, 3/4,8,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,448,In Demand PPV,19510, 3/4,9,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,449,In Demand PPV,19510, 3/4,10,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,450,In Demand PPV,19510, 3/4,11,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,451,In Demand PPV,19510, 3/4,12,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,452,In Demand PPV,19510, 3/4,13,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4060,1090,H,CF,453,In Demand PPV,19510, 3/4,14,B,artphill,09-07-02,elm_sd,MP,
Satcom C4,C,4100,1050,H,,,Showtime HD East (DCII combo),29270, 3/4,1,B,rodhew,11-09-04,christr,MP,
Satcom C4,C,4100,1050,H,,,TMC HD East (DCII combo),29270, 3/4,2,B,rodhew,11-09-04,christr,MP,
Satmex 5,C,3800,1350,V,CE,182,Unknown,29270, 7/8,3,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,183,Unknown,29270, 7/8,4,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,184,Unknown,29270, 7/8,5,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,195,Unknown,29270, 7/8,6,Q,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,196,Unknown,29270, 7/8,7,Q,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,197,Unknown,29270, 7/8,8,Q,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,198,Unknown,29270, 7/8,9,Q,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3800,1350,V,CE,199,Unknown,29270, 7/8,10,Q,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,3840,1310,V,CE,220,Unknown,29270, 3/4,1,I,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,221,Unknown,29270, 3/4,2,I,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,222,Unknown,29270, 3/4,3,I,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,223,Unknown,29270, 3/4,4,I,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,224,Unknown,29270, 3/4,5,I,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,231,GCL (Grand Canal Latino),29270, 3/4,12,Q,dander31,10-27-02,telliott,ZKorFP,
Satmex 5,C,3840,1310,V,CE,231,Unknown,29270, 3/4,12,Q,PKRUGLER,05-27-03,PKRUGLER,MP,
Satmex 5,C,3840,1310,V,CE,235,telemundo,29270, 3/4,,,dander31,12-21-02,dander31,MP,
Satmex 5,C,3840,1310,V,CE,235,Unknown,29270, 3/4,6,Q,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,236,Nick,29270, 3/4,,,dander31,12-21-02,dander31,MP,
Satmex 5,C,3840,1310,V,CE,236,Unknown,29270, 3/4,7,Q,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,237,Unknown,29270, 3/4,8,Q,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,238,Tele formula,29270, 3/4,,,PKRUGLER,05-27-03,PKRUGLER,MP,
Satmex 5,C,3840,1310,V,CE,238,Unknown,29270, 3/4,9,Q,photoman76,10-27-02,telliott,MP,
Satmex 5,C,3840,1310,V,CE,239,Arts and Film,29270, 3/4,,,dander31,12-21-02,dander31,MP,
Satmex 5,C,3840,1310,V,CE,239,Unknown,29270, 3/4,10,Q,photoman76,10-27-02,telliott,MP,
Satmex 5,C,4060,1090,H,,806,Canal Legislativo,19510, 3/4,1,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4060,1090,H,,807,XEIPN - Canal Once,19510, 3/4,2,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4060,1090,H,,808,o/v,19510, 3/4,3,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4060,1090,H,,809,Gobierno De La Republica,19510, 3/4,4,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4060,1090,H,,810,(Black Screen),19510, 3/4,5,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4060,1090,H,,811,(Black Screen),19510, 3/4,6,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4060,1090,H,,812,C.N.O. 2002 slate,19510, 3/4,7,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4080,1070,V,CF,460,Ecuavisa-Ecuador,19510, 3/4,1,B,DRLev,01-15-04,,ZKorFP,
Satmex 5,C,4080,1070,V,CF,461,LatinoAmerica TV (low volume),19510, 3/4,2,B,DRLev,07-07-04,ivanpiro,ZKorFP,
Satmex 5,C,4080,1070,V,CF,462,RGT-Torreon,19510, 3/4,3,B,DRLev,01-16-04,,ZKorFP,
Satmex 5,C,4080,1070,V,CF,463,Tv Demente-Mexico City,19510, 3/4,4,B,DRLev,01-16-04,DRLev,ZKorFP,
Satmex 5,C,4080,1070,V,CF,465,Teleritmo-Monterrey,19510, 3/4,6,B,DRLev,01-16-04,DRLev,ZKorFP,
Satmex 5,C,4080,1070,V,CF,466,Canal 22-Mexico City,19510, 3/4,7,B,DRLev,01-16-04,,ZKorFP,
Satmex 5,C,4080,1070,V,CF,467,Television-Morelia,19510, 3/4,8,B,DRLev,01-16-04,,ZKorFP,
Satmex 5,C,4080,1070,V,CF,468,Canal 11-Mexico City,19510, 3/4,9,B,DRLev,01-16-04,,ZKorFP,
Satmex 5,C,4080,1070,V,CF,469,Color Vision (DomRep),19510, 3/4,10,B,DRLev,07-29-04,TIVITO,ZKorFP,
Satmex 5,C,4120,1030,V,,1,MVS Television - Digicipher I,19510, 3/4,,,telliott,10-27-02,,ZKorFP,
Satmex 5,C,4160,990,V,CE,540,Unknown,29270, 7/8,1,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,4160,990,V,CE,541,Unknown,29270, 7/8,2,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,4160,990,V,CE,542,unknown,29270, 7/8,3,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,4160,990,V,CE,543,Unknown,29270, 7/8,4,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,4160,990,V,CE,544,Unknown,29270, 7/8,5,I,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,4160,990,V,CE,550,Momentum,29270, 7/8,11,Q,photoman76,10-27-02,telliott,MP,on
Satmex 5,C,4160,990,V,CE,551,Color Bars,29270, 7/8,12,Q,photoman76,10-27-02,telliott,ZKorFP,on
Satmex 5,C,4180,970,H,CF,568,Discovery Kids,19510, 3/4,9,B,artphill,02-02-04,kbrown28,ZKorFP,
Satmex 5,C,4180,970,H,CF,569,Canal 22-Mexico City,19510, 3/4,10,I,miltonray,10-11-04,,ZKorFP,
Satmex 5,C,4180,970,H,CF,569,Cl@se,19510, 3/4,10,B,artphill,10-27-02,telliott,MP,
Satmex 5,C,4180,970,H,,780,Edusat,19510, 3/4,1,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,781,Edusat,19510, 3/4,2,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,782,Edusat,19510, 3/4,3,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,783,Edusat,19510, 3/4,4,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,784,Edusat,19510, 3/4,5,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,785,Edusat,19510, 3/4,7,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,786,Edusat,19510, 3/4,8,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,787,Edusat,19510, 3/4,11,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,788,Edusat,19510, 3/4,12,B,artphill,10-27-02,telliott,MP,
Satmex 5,C,4180,970,H,,789,Edusat,19510, 3/4,13,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,790,Edusat,19510, 3/4,14,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,791,(empty),19510, 3/4,15,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,792,Edusat,19510, 3/4,16,B,artphill,10-27-02,telliott,ZKorFP,
Satmex 5,C,4180,970,H,,805,Xeimt Canal 22,19510, 3/4,6,B,artphill,07-12-03,gunwanti,ZKorFP,
Solidaridad 2,C,3720,1430,V,KF,540,Unknown,29270, 3/4,1,I,photoman76,04-04-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,541,Unknown,29270, 3/4,2,I,DRLev,04-05-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,542,Unknown,29270, 3/4,3,I,DRLev,04-05-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,543,Unknown,29270, 3/4,4,I,DRLev,04-05-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,544,Color Bars,29270, 3/4,5,I,DRLev,04-05-03,DRLev,ZKorFP,
Solidaridad 2,C,3720,1430,V,KF,555,Unknown,29270, 3/4,6,Q,DRLev,04-05-03,DRLev,MP,
Solidaridad 2,C,3720,1430,V,KF,556,Unknown,29270, 3/4,7,Q,DRLev,04-05-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,557,Unknown,29270, 3/4,8,Q,DRLev,04-05-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,558,Unknown,29270, 3/4,9,Q,DRLev,04-05-03,,MP,
Solidaridad 2,C,3720,1430,V,KF,559,Color Bars,29270, 3/4,10,Q,DRLev,04-05-03,,ZKorFP,
Telstar 13,C,3740,1410,V,CG,120,In Demand PPV,19510, 3/4,1,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,121,In Demand PPV,19510, 3/4,2,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,122,In Demand PPV,19510, 3/4,3,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,123,In Demand PPV,19510, 3/4,4,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,124,In Demand PPV,19510, 3/4,5,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,125,In Demand PPV,19510, 3/4,6,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,126,In Demand PPV,19510, 3/4,7,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,127,In Demand PPV,19510, 3/4,8,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3740,1410,V,CG,128,InDemand Barker Channel,19510, 3/4,9,B,cpd,11-28-04,jaydee353,ZKorFP,
Telstar 13,C,3740,1410,V,CG,129,G4 TV,19510, 3/4,10,B,photoman76,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,140,In Demand PPV,19510, 3/4,1,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,141,In Demand PPV,19510, 3/4,2,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,142,In Demand PPV,19510, 3/4,3,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,143,In Demand PPV,19510, 3/4,4,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,144,In Demand PPV,19510, 3/4,5,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,145,In Demand PPV,19510, 3/4,6,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,146,In Demand PPV,19510, 3/4,7,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,147,In Demand PPV,19510, 3/4,8,B,artphill,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,148,In Demand Barker,19510, 3/4,9,B,cpd,11-28-04,jaydee353,MP,
Telstar 13,C,3760,1390,H,CG,149,Unknown,19510, 3/4,10,B,photoman76,11-28-04,jaydee353,MP,
Telstar 13,C,3800,1350,H,CG,180,Spice Live,19510, 3/4,1,B,telliott,11-28-04,boblcape,SorNS,
Telstar 13,C,3800,1350,H,CG,181,Espanol,19510, 3/4,2,B,telliott,11-28-04,boblcape,SorNS,
Telstar 13,C,3800,1350,H,CG,182,Spice Hot,19510, 3/4,3,B,DRLev,11-28-04,boblcape,SorNS,
Telstar 13,C,3800,1350,H,CG,183,Here! TV,19510, 3/4,4,B,DRLev,11-28-04,boblcape,SorNS,
Telstar 13,C,3800,1350,H,CG,184,Hot Net Plus,19510, 3/4,5,B,alan_judd,11-28-04,boblcape,SorNS,
Telstar 13,C,3800,1350,H,CG,186,Spice Platinum,19510, 3/4,7,B,alan_judd,11-28-04,boblcape,SorNS,
Telstar 13,C,3800,1350,H,CG,187,Playboy TV Classic,19510, 3/4,8,B,alan_judd,11-28-04,boblcape,SorNS,
Telstar 13,C,3817,1333,V,CG,580,Cine Latino,19510, 3/4,11,B,DRDenton,01-07-05,boblcape,ZKorFP,
Telstar 13,C,3817,1333,V,,798,Enlace,19510, 3/4,5,B,artphill,11-29-04,boblcape,ZKorFP,
Telstar 13,C,3817,1333,V,,799,TV Superstore,19510, 3/4,14,B,artphill,11-29-04,boblcape,ZKorFP,
Telstar 13,C,3817,1333,V,,800,B-Mania,19510, 3/4,1,B,delizk,11-29-04,boblcape,U,
Telstar 13,C,3817,1333,V,,802,Family Network,19510, 3/4,3,B,artphill,11-29-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,200,B-Mania,19510, 3/4,1,B,Eph2,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,201,Chronicle,19510, 3/4,2,B,rodhew,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,202,Family Net,19510, 3/4,3,B,Eph2,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,203,Canal Sur,19510, 3/4,4,B,rodhew,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,204,Enlace,19510, 3/4,5,B,Eph2,11-28-04,boblcape,ZKorFP,
Telstar 13,C,3820,1330,V,CG,205,Colours TV,19510, 3/4,6,B,Eph2,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,207,TV Chile,19510, 3/4,8,B,photoman76,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,208,Puma TV,19510, 3/4,9,B,photoman76,11-28-04,boblcape,U,
Telstar 13,C,3820,1330,V,CG,209,Latin TV,19510, 3/4,10,B,artphill,11-28-04,boblcape,U,
Telstar 13,C,3870,1280,H,,,Playboy HD Test,11710, 3/4,10,B,bradley640,11-29-04,birdview,SorNS,
Telstar 13,C,3940,1210,V,CE,320,HTV,29270, 7/8,1,B,photoman76,11-28-04,boblcape,ZKorFP,
Telstar 13,C,3940,1210,V,CE,321,Utilisima Satelital,29270, 7/8,2,B,photoman76,11-28-04,boblcape,ZKorFP,
