Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
OLD GOLD	PREMIERE	2	DVB-C	362012	2	6900000	0	2	2	1	3	65535	133	167	336	113	0	336	0	0	0	0	0085000300A701500000	336,German		
EASY LISTENING	PREMIERE	2	DVB-C	378012	2	6900000	0	2	2	1	4	65535	133	146	608	117	0	608	0	0	0	0	00850004009202600000	608,German		
* Program #666 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	666	666	2303	98	2303	2304	0	0	0	0	029AFFFF029A08FF0000	2304,German		
GOLDSTAR TV	PREMIERE	2	DVB-C	386012	2	6900000	0	2	1	1	1	65535	133	518	3839	100	3839	3840	0	0	0	0	0085000102060EFF0000	3840,German		
EuroNews	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28015	2221	1034	2221	2233	0	768	0	0	000104376D6F08AD0000	2233,German\2233,German		
WDR Köln	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28111	601	600	601	602	0	604	0	0	0001044D6DCF02590000	602,German		
Phoenix	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28114	901	900	901	902	0	904	0	0	0001044D6DD203850000	902,German		
Canal 24 Horas	DigiKabel E	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53509	601	266	601	602	0	603	0	0	F0012711D10502590000	602,Spanish		
RTR Planeta	DigiKabel RUS	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53212	921	257	921	922	0	0	0	0	F0012715CFDC03990000	922,Russian\922,Russian		
TGRT	DigiKabel TR	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53502	1121	257	1121	1122	0	0	0	0	F0010070D0FE04610000	1122,Turkish		
Bayern 1	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28126	3601	3600	0	3601	0	0	0	0	0001044D6DDE0E110000	3601,German		
Bayern 4 Klassik	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28120	3001	3000	0	3001	0	0	0	0	0001044D6DD80BB90000	3001,German		
RTP Internacional	DigiKabel P	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53206	661	261	661	662	0	663	0	0	F0012711CFD602950000	662,[prt]		
Kanal D	DigiKabel TR	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53205	651	260	651	652	0	653	0	0	F0012711CFD5028B0000	652,Turkish\652,Turkish		
Nile TV International	ERTU	2	DVB-C	466012	2	6900000	0	2	1	0	9100	65535	318	8992	1180	1179	1181	1182	0	0	0	0	013E238C2320049C0000	1182,English		
Liberty TV	DigiKabel D	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53402	721	257	721	722	0	0	0	0	F0012714D09A02D10000	722,German\723,French		
PCNE	DigiKabel	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53208	911	256	911	912	0	0	0	0	F0012715CFD8038F0000	912,Chinese		
Test S 26	(Not Defined)	2	DVB-C	346012	2	6900000	0	2	1	1	10002	65535	61441	50701	811	256	811	812	0	0	0	0	F0012712C60D032B0000	812,German		
SCI FI	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	36	2047	97	2047	2048	0	0	0	0	00850011002407FF0000	2048,German		
* Program #211 *	* TS #FFFF *	2	DVB-C	354012	2	6900000	0	2	1	1	65535	65535	211	211	511	108	511	512	515	0	0	0	00D3FFFF00D301FF0000	512,German\513,German	515,	
PREMIERE KRIMI	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	1	4	65535	133	23	1535	104	1535	1536	0	0	0	0	00850004001705FF0000	1536,		
ARD-Online-Kanal	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28218	1801	1800	0	1801	0	0	0	0	000104316E3A07090000	1801,\1802,\1803,\1804,\1805,\1806,\1807,		
SPUTNIK	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28212	1201	1200	0	1201	0	0	0	0	000104316E3404B10000	1201,German		
NDR FS MV	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28224	2401	2400	2401	2402	0	2404	0	0	000104316E4009610000	2402,German		
ARD-MHP-Data	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28250	8191	5000	0	0	65535	65535	65535	65535	000104316E5A1FFF0000			
RTVi	DigiKabel RUS	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53201	611	256	611	612	0	0	0	0	F0012711CFD102630000	612,Russian		
Bulgaria TV	BNT	2	DVB-C	466012	2	6900000	0	2	1	0	9100	65535	318	8827	4612	4611	4612	4613	0	0	0	0	013E238C227B12040000	4613,		
Club	DigiKabel D	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53401	711	256	711	712	0	0	0	0	F0012714D09902C70000	712,German\713,English		
PLANET	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	13	1535	99	1535	1536	0	0	0	0	00850011000D05FF0000	1536,German		
SOUL CLASSICS	PREMIERE	2	DVB-C	362012	2	6900000	0	2	2	1	3	65535	133	153	352	118	0	352	0	0	0	0	00850003009901600000	352,German		
* Program #244 *	* TS #FFFF *	2	DVB-C	362012	2	6900000	0	2	1	1	65535	65535	244	244	3071	105	3071	3072	3075	0	0	0	00F4FFFF00F40BFF0000	3072,German\3073,German	3075,	
DANCE	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	165	304	112	0	304	0	0	0	0	0085000200A501300000	304,German		
ZDFinfokanal	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28011	610	600	610	620	0	130	0	0	000104376D6B02620000	620,German		
MDR FERNSEHEN	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28204	401	400	401	402	0	404	0	0	000104316E2C01910000	402,German		
NDR Kultur	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28207	701	700	0	701	0	0	0	0	000104316E2F02BD0000	701,German		
RADIOmultikulti	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28213	1301	1300	0	1301	0	0	0	0	000104316E3505150000	1301,German		
WDR 5	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28216	1601	1600	0	1601	0	0	0	0	000104316E3806410000	1601,German		
Extreme Sports	DigiKabel GB	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53409	791	264	791	792	0	0	0	0	F0012714D0A103170000	792,German\793,English		
EuroNews	DigiKabel E	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53216	1201	269	1201	1206	0	0	0	0	F0012715CFE004B10000	1206,Spanish		
* Program #213 *	* TS #FFFF *	2	DVB-C	354012	2	6900000	0	2	1	1	65535	65535	213	213	1791	101	1791	0	0	0	0	0	00D5FFFF00D506FF0000			
FILM & MUSICAL	PREMIERE	2	DVB-C	378012	2	6900000	0	2	2	1	4	65535	133	145	592	116	0	592	0	0	0	0	00850004009102500000	592,German		
HEIMATKANAL	PREMIERE	2	DVB-C	386012	2	6900000	0	2	1	1	1	65535	133	22	1279	104	1279	1280	0	0	0	0	00850001001604FF0000	1280,German		
* Program #665 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	665	665	2047	97	2047	2048	0	0	0	0	0299FFFF029907FF0000	2048,German		
* Program #778 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	778	778	1535	113	1535	1536	0	0	0	0	030AFFFF030A05FF0000	1536,German		
MDR INFO	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28211	1101	1100	0	1101	0	0	0	0	000104316E33044D0000	1101,German		
MEDIOLANUM	Tadiran Scopus	2	DVB-C	466012	2	6900000	0	2	1	0	9100	65535	318	8987	1131	1130	1131	1132	0	1136	0	0	013E238C231B046B0000	1132,		
MTV Base	DigiKabel GB	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53408	781	263	781	782	0	0	0	0	F0012714D0A0030D0000	782,English		
EuroNews	DigiKabel	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53211	1201	265	1201	1202	0	0	0	0	F0012715CFDB04B10000	1202,French		
LATIN	PREMIERE	2	DVB-C	362012	2	6900000	0	2	2	1	3	65535	133	155	368	120	0	368	0	0	0	0	00850003009B01700000	368,German		
PREMIERE 6	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	41	1535	107	1535	1536	0	0	0	0	00850002002905FF0000	1536,German		
HARD ROCK	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	152	816	117	0	816	0	0	0	0	00850002009803300000	816,German		
ORCHESTRALE WERKE	PREMIERE	2	DVB-C	378012	2	6900000	0	2	2	1	4	65535	133	158	560	123	0	560	0	0	0	0	00850004009E02300000	560,German		
* Program #777 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	777	777	255	99	255	256	0	0	0	0	0309FFFF030900FF0000	256,German		
Rai 3	DigiKabel I	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53507	1161	261	1161	1162	0	1163	0	0	F0010070D10304890000	1162,Italian\1162,Italian		
TV Polonia	DigiKabel	2	DVB-C	434012	2	6900000	0	2	1	1	10001	65535	61441	53204	641	259	641	642	0	643	0	0	F0012711CFD402810000	642,Polish		
Nile News	ERTU	2	DVB-C	466012	2	6900000	0	2	1	0	9100	65535	318	8993	1184	1183	1185	1186	0	0	0	0	013E238C232104A00000	1186,Arabic		
HIP HOP/R&B	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	159	576	124	0	576	0	0	0	0	00850002009F02400000	576,German		
BLUE MOVIE	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	1	4	65535	133	664	255	99	255	0	0	0	0	0	00850004029800FF0000			
* Program #208 *	* TS #FFFF *	2	DVB-C	378012	2	6900000	0	2	1	1	65535	65535	208	208	3071	107	3071	3072	3075	0	0	0	00D0FFFF00D00BFF0000	3072,German\3073,German	3075,	
PREMIERE EROTIK	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	1	4	65535	133	513	1279	101	1279	0	0	0	0	0	00850004020104FF0000			
Rai 2	DigiKabel I	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53506	1151	260	1151	1152	0	1153	0	0	F0010070D102047F0000	1152,Italian		
hr-skyline +	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28122	3201	3200	0	3201	0	0	0	0	0001044D6DDA0C810000	3201,German		
SÜDWEST BW	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28113	801	800	801	802	0	804	0	0	0001044D6DD103210000	802,German		
NEW COUNTRY	PREMIERE	2	DVB-C	362012	2	6900000	0	2	2	1	3	65535	133	164	384	119	0	384	0	0	0	0	0085000300A401800000	384,German\384,German		
* Program #241 *	* TS #FFFF *	2	DVB-C	362012	2	6900000	0	2	1	1	65535	65535	241	241	2303	102	2303	2304	2307	0	0	0	00F1FFFF00F108FF0000	2304,German\2305,German	2307,	
COOL & EASY	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	157	400	116	0	400	0	0	0	0	00850002009D01900000	400,German		
CLASSIC ROCK	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	163	352	118	0	352	0	0	0	0	0085000200A301600000	352,German		
PREMIERE SERIE	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	1	4	65535	133	16	1023	102	1023	1024	0	0	0	0	00850004001003FF0000	1024,German		
BEATE-UHSE.TV	PREMIERE	2	DVB-C	386012	2	6900000	0	2	1	1	1	65535	133	21	1023	102	1023	1024	0	0	0	0	00850001001503FF0000	1024,German		
DLR-Berlin	ZDFvision	2	DVB-C	394012	2	6900000	0	2	2	0	1079	65535	1	28012	710	700	0	710	0	0	0	0	000104376D6C02C60000	710,		
hessen fernsehen	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28108	301	300	301	302	0	304	0	0	0001044D6DCC012D0000	302,German\302,German		
YOU FM	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28125	3501	3500	0	3501	0	0	0	0	0001044D6DDD0DAD0000	3501,German		
EinsFestival	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28202	201	200	201	202	0	0	0	0	000104316E2A00C90000	202,German		
RBB Brandenburg	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28205	501	500	501	502	0	504	0	0	000104316E2D01F50000	502,German		
MDR THÜRINGEN	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28230	401	3000	401	402	0	404	0	0	000104316E4601910000	402,German		
Eurosport News	DigiKabel GB	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53407	771	262	771	772	0	774	0	0	F0012714D09F03030000	772,English		
EuroNews	DigiKabel I	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53215	1201	268	1201	1205	0	0	0	0	F0012715CFDF04B10000	1205,Italian		
JAZZ	PREMIERE	2	DVB-C	378012	2	6900000	0	2	2	1	4	65535	133	148	640	113	0	640	0	0	0	0	00850004009402800000	640,German		
ZDFtheaterkanal	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28016	1110	1100	1110	1120	0	130	0	0	000104376D7004560000	1120,German		
3sat	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28007	210	200	210	220	0	230	0	0	000104376D6700D20000	220,German		
ZDFdokukanal	ZDFvision	2	DVB-C	394012	2	6900000	0	2	1	0	1079	65535	1	28014	660	650	660	670	0	130	0	0	000104376D6E02940000	670,German		
Sinema TURK	DigiKabel TR	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53511	1185	265	1185	1186	0	0	0	0	F0010070D10704A10000	1186,Turkish		
SR 1	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28129	3901	3900	0	3901	0	0	0	0	0001044D6DE10F3D0000	3901,German		
