Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
BR-alpha	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28112	701	700	701	702	0	704	0	0	0001044D6DD002BD0000	702,German		
ARD-MHP-TEST-5	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28221	101	2100	101	102	0	0	0	0	000104316E3D00650000	102,		
Test S38 D442 TP B9	(Not Defined)	2	DVB-C	442012	2	6900000	0	2	1	1	10003	65535	61441	53301	513	256	513	514	0	0	0	0	F0012713D03502010000	514,German		
OpenSky_EN	EUTELSAT	2	DVB-C	466012	2	6900000	0	2	1	0	9100	65535	318	8804	4356	4355	4356	4357	0	0	0	0	013E238C226411040000	4357,		
BBC Prime	DigiKabel GB	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53406	761	261	761	762	0	763	0	0	F0012714D09E02F90000	762,English		
TW1	DigiKabel D	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53405	751	260	751	752	0	753	0	0	F0012714D09D02EF0000	752,German\752,German		
* Program #245 *	* TS #FFFF *	2	DVB-C	362012	2	6900000	0	2	1	1	65535	65535	245	245	3327	112	3327	3328	3331	0	0	0	00F5FFFF00F50CFF0000	3328,German\3329,German	3331,	
* Program #243 *	* TS #FFFF *	2	DVB-C	362012	2	6900000	0	2	1	1	65535	65535	243	243	2815	104	2815	2816	2819	0	0	0	00F3FFFF00F30AFF0000	2816,German\2817,German	2819,	
PREMIERE START	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	8	255	100	255	256	0	32	0	0	00850002000800FF0000	256,German		
KLASSIK POPULÄR	PREMIERE	2	DVB-C	378012	2	6900000	0	2	2	1	4	65535	133	147	624	112	0	624	0	0	0	0	00850004009302700000	624,German		
Show TV	DigiKabel TR	2	DVB-C	402012	2	6900000	0	2	1	1	112	65535	61441	53501	1111	270	1111	1112	0	1113	0	0	F0010070D0FD04570000	1112,Turkish		
hr-klassik	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28124	3401	3400	0	3401	0	0	0	0	0001044D6DDC0D490000	3401,		
NDR FS NDS	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28226	2401	2600	2401	2402	0	2404	0	0	000104316E4209610000	2402,German		
El Shark El Awsat	ERTU	2	DVB-C	466012	2	6900000	0	2	2	0	9100	65535	318	8994	1180	1187	0	1188	0	0	0	0	013E238C2322049C0000	1188,Arabic		
Einstein TV	DigiKabel D	2	DVB-C	113012	2	6900000	0	2	1	1	10004	65535	61441	53410	701	265	701	702	0	0	0	0	F0012714D0A202BD0000	702,German		
TVN	DigiKabel	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53106	991	264	991	992	0	0	0	0	F0012715CF7203DF0000	992,Polish		
JUNIOR	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	19	255	100	255	256	0	0	0	0	00850011001300FF0000	256,German		
PREMIERE SPORT 1	PREMIERE	2	DVB-C	362012	2	6900000	0	2	1	1	3	65535	133	17	255	100	255	256	0	0	0	0	00850003001100FF0000	256,German\257,German		
PREMIERE 5	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	29	1279	106	1279	1280	0	0	0	0	00850002001D04FF0000	1280,German\1281,German		
* Program #779 *	* TS #FFFF *	2	DVB-C	386012	2	6900000	0	2	1	1	65535	65535	779	779	1791	116	1791	1792	0	0	0	0	030BFFFF030B06FF0000	1792,German		
NDR Info	ARD	2	DVB-C	410012	2	6900000	0	2	2	0	1101	65535	1	28127	3701	3700	0	3701	0	0	0	0	0001044D6DDF0E750000	3701,German		
Test-R	ARD	2	DVB-C	410012	2	6900000	0	2	1	0	1101	65535	1	28130	201	2000	201	202	0	204	0	0	0001044D6DE200C90000	202,		
MDR JUMP	ARD	2	DVB-C	426012	2	6900000	0	2	2	0	1073	65535	1	28210	1001	1000	0	1001	0	0	0	0	000104316E3203E90000	1001,German		
