Satellite,Position,Band,DL Frequency,Polarity,Description,SR,Modulation,FEC,VPID,UM,Spectrum Inversion,APID,PCR,Transport ID, Network ID,Service ID,4:2:2 Video,AC-3 Audio,Source,Updated,Updater,Encryption
AMC 1,103.00,C,3740,V,Deutsche Welle 1 (Audio),29270,QPSK, 7/8,,,Y,1520,,,,,,,Anonymous,08-08-02,rmortonc,
AMC 1,103.00,C,3740,V,Deutsche Welle 2 (Audio),29270,QPSK, 7/8,,,Y,1530,,,,,,,Anonymous,08-08-02,rmortonc,
AMC 1,103.00,C,3740,V,Deutsche Welle 7 (Audio),29270,QPSK, 7/8,,,Y,1532,,,,,,,Anonymous,08-08-02,rmortonc,
AMC 1,103.00,C,3740,V,Deutsche Welle,29270,QPSK, 7/8,1160,,Y,1130,1160,1,1,1,,,rmortonc,12-27-03,spyder,
AMC 1,103.00,C,3740,V,Deutsche Welle,29270,QPSK, 7/8,1160,on,A,1120,1160,1,1,1,,on,boblcape,01-27-05,,
AMC 1,103.00,C,3740,V,XY.TV,29270,QPSK, 7/8,1260,on,A,1220,1260,1,,10,,on,boblcape,09-08-04,boblcape,
AMC 1,103.00,C,3740,V,SES Demo,29270,QPSK, 7/8,1360,on,A,1320,1360,1,,11,,on,boblcape,09-08-04,boblcape,
AMC 1,103.00,C,3740,V,Cadena del Milagro,29270,QPSK, 7/8,1660,,A,1620,1660,1,,5,,,boblcape,07-30-04,,
AMC 1,103.00,C,3740,V,Sports Max,29270,QPSK, 7/8,1860,,A,1820,1870,1,1,8,,,boblcape,01-01-05,,on
AMC 1,103.00,C,3840,H,Cable Radio Network (CRN),26681,QPSK, 3/4,,,Y,302,,,,,,,Copykat,12-02-03,,
AMC 1,103.00,C,3840,H,Pax TV East,26681,QPSK, 3/4,100,,A,101,100,,,,,,Anonymous,12-02-03,Copykat,
AMC 1,103.00,C,3840,H,Feeds5,26681,QPSK, 3/4,1000,,A,1002,1000,,,,,,Copykat,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Feeds6,26681,QPSK, 3/4,1100,,A,1101,1100,,,,,,Copykat,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Feeds7,26681,QPSK, 3/4,1200,,A,1201,1200,,,,,,Copykat,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Faith TV,26681,QPSK, 3/4,1300,,A,1301,1300,,,,,,Copykat,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Faith TV,26681,QPSK, 3/4,1300,,A,1303,1300,,,17,,on,boblcape,01-15-04,boblcape,
AMC 1,103.00,C,3840,H,Pax TV Mountain,26681,QPSK, 3/4,200,,A,201,200,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Pax TV Pacific,26681,QPSK, 3/4,300,,A,301,300,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Pax TV Pacific,26681,QPSK, 3/4,300,,A,303,300,,,15,,on,boblcape,01-15-04,boblcape,
AMC 1,103.00,C,3840,H,Pax TV Feeds 1,26681,QPSK, 3/4,400,,A,401,400,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Worship,26681,QPSK, 3/4,4130,,A,4131,4130,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Worship,26681,QPSK, 3/4,4130,,A,4132,4130,,,16,,on,boblcape,01-15-04,boblcape,
AMC 1,103.00,C,3840,H,Praise,26681,QPSK, 3/4,4386,,A,4387,4386,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Pax TV Feeds 2,26681,QPSK, 3/4,700,,A,701,700,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Pax TV Feeds 3,26681,QPSK, 3/4,800,,A,801,800,,,,,,Anonymous,09-28-02,Copykat,
AMC 1,103.00,C,3840,H,Feeds4,26681,QPSK, 3/4,900,,A,901,900,,,,,,Copykat,09-28-02,Copykat,
AMC 1,103.00,C,3880,H,Soccer Feed O/V,13000,, 3/4,1160,,A,1120,1160,,,,,,jaydee353,10-29-03,,
AMC 1,103.00,C,3880,H,Voom Soccer HD O/V,27500,, 3/4,308,on,A,256,8190,,,,,,jaydee353,08-28-04,,
AMC 1,103.00,C,3984,H,WCLF CTN-Largo Florida,2734,QPSK, 5/6,33,,A,34,8190,,,,,,rodhew,09-28-02,Copykat,
AMC 1,103.00,C,4005,H,TLN,18800,QPSK, 3/4,32,,A,33,32,1,,1,,,Copykat,10-18-04,boblcape,
AMC 1,103.00,C,4005,H,TLN,18800,QPSK, 3/4,35,,A,34,35,1,,2,,,tam625,10-18-04,boblcape,
AMC 1,103.00,C,4005,H,TLN,18800,QPSK, 3/4,37,,A,36,37,1,,3,,,boblcape,10-18-04,,
AMC 1,103.00,C,4005,H,TLN,18800,QPSK, 3/4,40,,A,39,40,1,,4,,,tholbroo,10-18-04,boblcape,
AMC 1,103.00,C,4005,H,TLN,18800,QPSK, 3/4,50,,A,51,50,1,,5,,,boblcape,10-18-04,,
AMC 1,103.00,C,4066,H,Atlantic,3680,, 2/3,2160,,A,2120,2160,,,,,,boblcape,08-07-03,boblcape,on
AMC 1,103.00,C,4066,H,News,3680,, 2/3,2260,,A,2220,2260,,,,,,boblcape,05-09-03,boblcape,on
AMC 1,103.00,C,4066,H,Sports,3680,, 2/3,2360,,A,2320,2360,,,,,,boblcape,05-09-03,boblcape,on
AMC 1,103.00,C,4070,H,The Liberty Channel,2300,, 3/4,4130,,A,4131,4130,,,,,,rcculp,02-04-03,,
AMC 1,103.00,C,4169,H,Comcast Sports Net,13340,QPSK, 3/4,110,on,A,100,110,101,,1,,on,boblcape,10-18-04,boblcape,on
AMC 1,103.00,C,4169,H,Comcast Sports Net,13340,QPSK, 3/4,210,on,A,200,210,101,,2,,on,boblcape,10-29-04,boblcape,on
AMC 1,103.00,C,4169,H,Comcast Sports Net,13340,QPSK, 3/4,310,on,A,300,310,101,,3,,on,boblcape,09-08-04,,on
AMC 3,87.00,C,3720,H,APTN North America Video Wire,4168,QPSK, 5/6,308,,N,256,8190,,,,,,gary4ever1,07-25-04,Nickh30,
AMC 3,87.00,C,3726,H,APTN direct,4168,QPSK, 5/6,255,,A,257,254,,,,,,issamitri,07-25-04,Nickh30,
AMC 3,87.00,C,3733,H,APTN 3 o/v,5632,QPSK, 3/4,512,,,650,8190,,,,,,cpt_mocha,12-26-02,Copykat,on
AMC 3,87.00,C,3744,H,Michigan Government TV,3520,QPSK, 3/4,4096,,A,4097,4096,,,,,,telliott,09-16-02,Copykat,
AMC 3,87.00,C,3756,H,??? (MPEG 1.5),6145,, ,,,A,,,,,,,,telliott,08-28-03,rodhew,on
AMC 3,87.00,C,3764,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,3769,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,boblcape,06-15-04,Tim9710,
AMC 3,87.00,C,3773,V,Autotote,3024,QPSK, 3/4,4130,,A,4131,4130,,,1,,,Copykat,06-27-03,,
AMC 3,87.00,C,3778,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,3782,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,3786,H,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Nickh30,07-27-03,,
AMC 3,87.00,C,3787,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-15-04,Tim9710,
AMC 3,87.00,C,3790,H,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Nickh30,07-27-03,,
AMC 3,87.00,C,3791,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-15-04,Tim9710,
AMC 3,87.00,C,3796,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,3811,V,Midwest Sports Channel Minnesota,14000,, 3/4,1160,,,1120,,,,,,,telliott,01-11-02,,on
AMC 3,87.00,C,3811,V,Midwest Sports Channel Wisconsin,14000,, 3/4,1260,,,1220,,,,,,,telliott,01-11-02,,on
AMC 3,87.00,C,3811,V,Fox sports net alt,14000,, 3/4,1360,,A,1320,1360,,,,,,boblcape,08-07-03,boblcape,on
AMC 3,87.00,C,3824,H,TVU Music Television,3617,QPSK, 3/4,257,,A,258,257,,,1,,,rodhew,03-04-04,boblcape,
AMC 3,87.00,C,3824,H,Spirit Television,3617,QPSK, 3/4,513,,A,514,513,,,2,,,boblcape,03-05-04,,
AMC 3,87.00,C,3829,V,CSN,14000,, 3/4,1160,,,1120,1160,,,,,,telliott,08-07-03,boblcape,on
AMC 3,87.00,C,3829,V,CSN Alternate,14000,, 3/4,1260,,,1220,1260,,,,,,telliott,03-11-03,boblcape,on
AMC 3,87.00,C,3829,V,CSN Alternate,14000,, 3/4,1360,,,1320,1360,,,,,,telliott,03-11-03,boblcape,on
AMC 3,87.00,C,3829,V,CSN Alternate,14000,, 3/4,1460,,A,1420,1460,,,,,,boblcape,03-11-03,,on
AMC 3,87.00,C,3831,H,data,2512,, ,,,,,,,,,,,telliott,01-11-02,,
AMC 3,87.00,C,3839,H,Supercanal Caribe,3617,QPSK, 3/4,33,,,36,33,1,1,65535,,,Copykat,06-21-04,boblcape,
AMC 3,87.00,C,3860,V,Unknown Digicipher 1 Occasional,19510,, ,,,A,,,,,,,,photoman76,09-11-03,photoman76,
AMC 3,87.00,C,3883,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,09-28-03,,
AMC 3,87.00,C,3887,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,09-28-03,,
AMC 3,87.00,C,3893,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-15-04,,
AMC 3,87.00,C,3898,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-15-04,,
AMC 3,87.00,C,3903,V,Nascar Feeds O/V,7440.7,, 7/8,33,,A,36,33,,,,on,,jaydee353,08-23-03,jaydee353,
AMC 3,87.00,C,3913,V,Nascar Feeds O/V,6200.6,, 7/8,33,,A,36,33,,,,on,,jaydee353,08-23-03,,
AMC 3,87.00,C,4034,H, CSN International Program Feed Network,6510,QPSK, 1/2,,,,1000,8190,,,,,,NTDWS,12-26-02,Copykat,
AMC 3,87.00,C,4034,H, Salem Music Network C - Solid Gospel,6510,QPSK, 1/2,,,,5587,8190,,,,,,NTDWS,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Ambassador Advertising Agency Channel 1,6510,QPSK, 1/2,,on,,5181,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Ambassador Advertising Agency Channel 2,6510,QPSK, 1/2,,,,4019,8190,,,,,,NTDWS,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,AMR,6511,, 1/2,,,A,700,8190,,,,,,DANIELH,10-13-03,DANIELH,
AMC 3,87.00,C,4034,H,CRB,6511,, 1/2,,,A,8000,8190,,,,,,DANIELH,11-07-03,DANIELH,
AMC 3,87.00,C,4034,H,CS2,6511,, 1/2,,,A,1286,8190,,,,,,DANIELH,01-04-04,sean,
AMC 3,87.00,C,4034,H,Focus on the Family Radio Network 1,6510,QPSK, 1/2,,on,,1553,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Focus on the Family Radio Network 2,6510,QPSK, 1/2,,on,,6139,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Focus on the Family Radio Network 3,6510,QPSK, 1/2,,on,,4368,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,FOF,6511,, 1/2,,,A,4617,8190,,,,,,DANIELH,01-04-04,sean,
AMC 3,87.00,C,4034,H,Information Radio Network,6510,QPSK, 1/2,,,,261,8190,,,,,,NTDWS,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,LF1,6511,, 1/2,,,A,5069,8190,,,,,,DANIELH,12-25-04,DANIELH,
AMC 3,87.00,C,4034,H,Moody Broadcast Network Channel 1,6510,QPSK, 1/2,,,,1276,8190,,,,,,Copykat,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Moody Broadcast Network Channel 2(WMBI Chicago),6510,QPSK, 1/2,,on,,1746,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Research Educational Foundation,6510,QPSK, 1/2,,on,,2682,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,RR1,6511,, 1/2,,,A,6950,8190,,,,,,DANIELH,12-25-04,DANIELH,
AMC 3,87.00,C,4034,H,Salem Music Network  Format A (Todays Christian Music),6510,QPSK, 1/2,,on,,7249,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Salem Music Network  Format B (The Word in Praise),6510,QPSK, 1/2,,on,,3719,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Salem Radio Network  Channel 1,6510,QPSK, 1/2,,on,,4737,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Salem Radio Network  Channel 2,6510,QPSK, 1/2,,on,,4972,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Salem Radio Network  Channel 3,6510,QPSK, 1/2,,on,,5029,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Salem Radio Network  Channel 4,6510,QPSK, 1/2,,on,,2592,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,Salem Radio Network News,6510,QPSK, 1/2,,on,,4093,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,SGT,6511,, 1/2,,,A,3963,8190,,,,,,DANIELH,12-25-04,DANIELH,
AMC 3,87.00,C,4034,H,SK2,6511,, 1/2,,,A,8076,8190,,,1,,,DANIELH,12-25-04,DANIELH,
AMC 3,87.00,C,4034,H,Skylight,6510,QPSK, 1/2,,,,6912,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,SOS,6510,QPSK, 1/2,,on,,6126,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,SR5,6510,QPSK, 1/2,,,,2593,8190,,,,,,ntdws,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,USA Radio Network  Channel 1,6510,QPSK, 1/2,,on,,5634,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,USA Radio Network Channel 2,6510,QPSK, 1/2,,on,,2703,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,USA Radio Network Channel 3,6510,QPSK, 1/2,,on,,6346,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,USA Radio Network Channel 4,6510,QPSK, 1/2,,on,,3294,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,VCY America  Channel 1,6510,QPSK, 1/2,,on,,280,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,VCY America  Channel 2,6510,QPSK, 1/2,,on,,290,8190,,,,,,zoraq,12-26-02,Copykat,
AMC 3,87.00,C,4034,H,WDEO-AM(Ann Arbor MI),6500,, 1/2,,,,5169,8189,,,,,,ntdws,01-11-02,sean,
AMC 3,87.00,C,4043,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,09-28-03,,
AMC 3,87.00,C,4046,H,CRB,6402,, 1/2,,,A,8000,8190,,,,,,DANIELH,12-25-04,DANIELH,
AMC 3,87.00,C,4046,H,SKY,6402,, 1/2,,,A,6912,8190,,,,,,DANIELH,12-25-04,DANIELH,
AMC 3,87.00,C,4048,V,Autotote Racing,3024,, 3/4,4130,,A,4131,4130,,,,,,boblcape,12-03-03,,
AMC 3,87.00,C,4053,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-15-04,Tim9710,
AMC 3,87.00,C,4058,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,4062,V,Autotote Racing,3024,, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,4067,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,Tim9710,06-28-03,,
AMC 3,87.00,C,4072,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,boblcape,10-31-03,boblcape,
AMC 3,87.00,C,4077,V,Autotote Racing,3024,QPSK, 3/4,4130,,A,4131,4130,,,,,,boblcape,10-31-03,,
AMC 3,87.00,C,4109,H,Default,9300,QPSK, 7/8,,,A,1222,1222,0,,1,,,boblcape,09-10-04,,
AMC 3,87.00,C,4109,H,ZNS Radio,9300,QPSK, 7/8,,,A,1122,1122,0,,412,,,telliott,09-15-04,johnmarx1,
AMC 3,87.00,C,4109,H,ZNS 1 TV,9300,QPSK, 7/8,1160,,A,1120,1160,0,,410,,,telliott,09-10-04,boblcape,
AMC 3,87.00,C,4109,H,Parlimentary Channel,9300,QPSK, 7/8,1260,,A,1220,1260,0,,411,,,Copykat,09-10-04,boblcape,
AMC 3,87.00,C,4109,H,Unknown,9300,QPSK, 7/8,1460,,A,1420,1460,0,,415,,,boblcape,05-31-04,boblcape,on
AMC 3,87.00,C,4120,H,WWOR-NY,6150,QPSK, 7/8,1160,,A,1120,1160,0,,430,,,boblcape,05-31-04,,on
AMC 3,87.00,C,4120,H,PBS-NY,6150,QPSK, 7/8,1260,,A,1220,1260,0,,420,,,boblcape,05-31-04,,on
AMC 3,87.00,C,4164,V,Autotote,3024,QPSK, 3/4,4130,,A,4131,4130,,,1,,,Copykat,06-27-03,Copykat,
AMC 3,87.00,C,4169,V,Autotote,3024,QPSK, 3/4,4130,,A,4131,4130,,,1,,,Copykat,06-27-03,Copykat,
AMC 3,87.00,C,4173,V,Autotote,3024,QPSK, 3/4,4130,,A,4131,4130,,,2,,,Copykat,06-27-03,,
AMC 3,87.00,C,4177,V,Autotote,3024,QPSK, 3/4,4130,,A,4131,4130,,,1,,,Copykat,06-27-03,,
AMC 3,87.00,C,4182,V,Autotote,3024,QPSK, 3/4,4130,,A,4131,4130,,,1,,,Copykat,06-27-03,,
AMC 3,87.00,C,4185,V,Aqueduct Live,6667,QPSK, 3/4,110,,A,100,110,101,764,25,,on,boblcape,11-17-04,,on
AMC 3,87.00,C,4185,V,Aqueduct Live (Canada),6667,QPSK, 3/4,110,,A,100,110,101,764,27,,on,boblcape,11-17-04,,on
AMC 3,87.00,C,4185,V,Aqueduct Live (Carribean),6667,QPSK, 3/4,110,,A,100,110,101,764,28,,on,boblcape,11-17-04,,on
AMC 3,87.00,C,4185,V,NYRA Live,6667,QPSK, 3/4,110,,A,100,110,101,764,1,,on,boblcape,11-17-04,,on
AMC 3,87.00,C,4185,V,NYRA Clean,6667,QPSK, 3/4,210,,A,200,210,101,764,26,,on,boblcape,11-17-04,,on
AMC 3,87.00,C,4192,V,Horse Racing,3024,QPSK, 3/4,4130,,A,4131,4120,,,,,,Nickh30,10-01-04,,
AMC 3,87.00,C,4196,V,Horse Racing,3024,, 3/4,4130,,A,4131,4120,,,,,,Nickh30,10-01-04,,
AMC 4,101.00,C,3709,V,American Freedom Network,4580,, 3/4,,,,257,,,,,,,cpt_mocha,01-11-02,,
AMC 4,101.00,C,3709,V,Cornerstone Television,4580,, 3/4,308,,,256,8190,,,,,,FBruenjes,01-11-02,,
AMC 4,101.00,C,3716,V,Golden Eagle Broadcasting,4340,QPSK, 3/4,308,,A,256,8190,1,1,1,,,boblcape,07-03-04,boblcape,
AMC 4,101.00,C,3730,V,SuperChannel,2532,QPSK, 3/4,4130,,A,4131,4130,,,1,,,rodhew,03-04-02,Copykat,
AMC 4,101.00,C,3773,V,Daystar TV,4442,, 3/4,257,,,258,257,,,,on,,telliott,07-07-02,Copykat,
AMC 4,101.00,C,3800,V,Unknown,19520,, ,,,A,,,,,,,,photoman76,06-02-03,,
AMC 4,101.00,C,3860,H,Telemundo East,26670,QPSK, 7/8,512,,A,650,8190,,,1,,,tholbroo,01-24-04,boblcape,on
AMC 4,101.00,C,3860,H,Telemundo Occ,26670,QPSK, 7/8,513,,A,651,8190,,,2,,,trackerlee,01-24-04,boblcape,on
AMC 4,101.00,C,3860,H,Telemundo West,26670,QPSK, 7/8,514,,A,652,8190,,,3,,,tholbroo,01-24-04,boblcape,on
AMC 4,101.00,C,3860,H,Mun2 East,26670,QPSK, 7/8,515,,A,653,8190,,,7,,,tholbroo,01-24-04,boblcape,on
AMC 4,101.00,C,3860,H,Mun2 West,26670,QPSK, 7/8,516,,A,654,8190,,,15,,,tholbroo,01-24-04,boblcape,on
AMC 4,101.00,C,3860,H,NBC EAST,26670,QPSK, 7/8,517,,A,655,8190,,,,,,trackerlee,01-05-04,DRLev,
AMC 4,101.00,C,3860,H,NBC CENTRAL,26670,, 7/8,518,,A,656,8190,,,,,,trackerlee,12-17-02,mrvidiot,
AMC 4,101.00,C,3860,H,NBC MOUNTAIN,26670,, 7/8,519,,A,657,8190,,,,,,trackerlee,12-17-02,mrvidiot,
AMC 4,101.00,C,3860,H,NBC PACIFIC,26670,, 7/8,520,,A,658,8190,,,,,,trackerlee,12-17-02,mrvidiot,
AMC 4,101.00,C,3956,V,NOAA Data,6349,, 7/8,,,A,,,,,,,,rodhew,01-27-05,rodhew,
AMC 4,101.00,C,3974,V,UCTV,4363,, 3/4,33,,,34,8190,,,,,,loba55,01-11-02,wizoatk,
AMC 4,101.00,C,3992,V,NOAA Weather Data,1147,QPSK, 7/8,,,Y,,,,,,,,Anonymous,05-16-04,,
AMC 4,101.00,C,4060,H,BET East,28346,QPSK, 3/4,121,,A,136,121,101,767,101,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4060,H,Cartoon Network East,28346,QPSK, 3/4,122,,A,137,122,101,,102,,on,boblcape,06-28-04,,on
AMC 4,101.00,C,4060,H,Comedy Central East,28346,QPSK, 3/4,123,,A,138,123,201,767,204,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4060,H,MTV East,28346,QPSK, 3/4,124,,A,139,124,101,767,104,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4060,H,Disney East,28346,QPSK, 3/4,125,,A,140,125,101,767,105,,on,boblcape,01-27-05,boblcape,on
AMC 4,101.00,C,4060,H,Nickelodeon East,28346,QPSK, 3/4,126,,A,141,126,101,,106,,on,boblcape,06-28-04,,on
AMC 4,101.00,C,4060,H,Sci-Fi Channel East,28346,QPSK, 3/4,127,,A,142,127,101,,107,,on,boblcape,06-28-04,,on
AMC 4,101.00,C,4060,H,AMC East,28346,QPSK, 3/4,128,,A,143,128,101,767,108,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4060,H,Discovery Channel East,28346,QPSK, 3/4,129,,A,144,129,101,,109,,on,boblcape,06-28-04,,on
AMC 4,101.00,C,4060,H,TLC East,28346,QPSK, 3/4,130,,A,145,130,101,,110,,on,boblcape,06-28-04,,on
AMC 4,101.00,C,4060,H,VH1 East,28346,QPSK, 3/4,131,,A,146,131,101,,112,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4060,H,USA East,28346,QPSK, 3/4,132,,A,147,132,101,767,111,,on,boblcape,01-27-05,boblcape,on
AMC 4,101.00,C,4080,V,C-Span,28346,QPSK, 3/4,221,,A,236,221,201,767,201,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,C-Span2,28346,QPSK, 3/4,222,,A,237,222,201,767,202,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,Animal Planet,28346,QPSK, 3/4,223,,A,238,223,201,767,203,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,Travel Channel,28346,QPSK, 3/4,224,,A,239,224,201,767,206,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,TV One,28346,8PSK, 3/4,225,,A,240,225,201,767,205,,on,boblcape,01-27-05,boblcape,on
AMC 4,101.00,C,4080,V,Discovery Health,28346,QPSK, 3/4,226,,A,241,226,201,767,206,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,CNN,28346,QPSK, 3/4,227,,A,242,227,201,767,207,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,Golf Channel,28346,QPSK, 3/4,228,,A,243,228,201,767,208,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,Home Shopping Network,28346,QPSK, 3/4,229,,A,244,229,201,767,209,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,QVC,28346,QPSK, 3/4,230,,A,245,230,201,767,210,,on,boblcape,06-28-04,,on
AMC 4,101.00,C,4080,V,Great American Country,28346,QPSK, 3/4,231,,A,246,231,201,767,211,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4080,V,Headline News,28346,QPSK, 3/4,232,,A,247,232,201,767,212,,on,boblcape,10-03-04,boblcape,on
AMC 4,101.00,C,4100,H,SES iSatPlatform (Data),30000,QPSK, 3/4,,,A,,,,,,,,Nickh30,06-25-04,cowarda,
AMC 4,101.00,C,4110,V,Sky Angel/Angel One,7246,, 3/4,5154,,,5155,5154,,,,,,loba55,07-26-04,boblcape,
AMC 4,101.00,C,4110,V,Sky Angel/KTV-Kids,7246,, 3/4,5410,,A,5411,5410,,,,,,boblcape,07-26-04,,
AMC 4,101.00,C,4110,V,Sky Angel/Angel Two,7246,, 3/4,5922,,A,5923,5922,,,,,,boblcape,07-26-04,,
AMC 4,101.00,C,4116,V,Familyland,2300,, 3/4,4130,,,4131,,,,,,,Copykat,01-11-02,,
AMC 4,101.00,C,4123,V,Gods Learning Channel,4340,, 1/2,4130,,,4131,,,,,,,stevesteve43,01-11-02,,
AMC 4,101.00,C,4134,V,Safe TV,2170,QPSK, 3/4,4130,,A,4131,4130,,,,,,miltonray,12-19-03,miltonray,
AMC 4,101.00,C,4170,H,CBS Sports Feed,14140,, 3/4,3601,,A,3604,3601,,,,on,,birdview,03-20-04,birdview,
AMC 4,101.00,C,4173,V,Radio Service (see notes),4340,QPSK, 3/4,,,A,5672,,,,,,,rcculp,07-18-04,Nickh30,
AMC 4,101.00,C,4173,V,La Familia Network,4340,QPSK, 3/4,5666,,A,5667,5666,,,,,,boblcape,08-27-03,,
AMC 4,101.00,C,4173,V,FE TV,4340,QPSK, 3/4,5670,,A,5671,5670,,,,,,boblcape,08-07-03,boblcape,
AMC 4,101.00,C,4190,H,CBS Sports Feed,14140,, 3/4,33,,A,36,33,,,,on,,birdview,03-20-04,,
AMC 6,72.00,C,3720,V,Data - some IP/DVB,25995,, 7/8,,,,,,,,,,,rodhew,07-11-02,rodhew,
AMC 6,72.00,C,3755,V,Unknown not DVB,19520,, ,,,A,,,,,,,,photoman76,01-31-04,,
AMC 6,72.00,C,3800,V,ESPN-HD o/v,29270,QPSK, 3/4,308,on,A,256,8190,1,,1,,,boblcape,07-12-04,,
AMC 6,72.00,C,3835,V,Unknown not DVB,19520,, ,,,A,,,,,,,,photoman76,01-31-04,,
AMC 6,72.00,C,3932,V,WZRB-UPN 47 Columbia SC,7440.7,QPSK, 3/4,49,,A,52,49,,,,,,avman2,01-06-05,avman2,
