Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
UKBrightIdeas	UKTV	3	DVB-T	642000	1	6900000	1	2	9985	0	24576	65535	9018	25792	301	1003	301	302	0	0	4000	0	233A600064C0012D0000	302,English\304,English		
Community	BBC	3	DVB-T	786000	1	6900000	1	2	23809	0	16384	65535	9018	19968	8191	713	0	0	0	0	326	0	233A40004E001FFF0000			
703	BBC	3	DVB-T	786000	1	6900000	1	2	1	0	16384	65535	9018	19584	8191	712	0	0	0	0	318	0	233A40004C801FFF0000			
Ch 15	SDN	3	DVB-T	762000	1	6900000	1	2	2	0	12290	65535	9018	14208	8190	262	0	660	0	0	0	0	233A300237801FFE0000	660,English		
TMF	MTV Europe	3	DVB-T	642000	1	6900000	1	2	11009	0	24576	65535	9018	25728	201	1002	201	202	0	0	4000	0	233A6000648000C90000	202,English\204,English		
BBC FOUR	BBC	3	DVB-T	786000	1	6900000	1	2	5377	0	16384	65535	9018	16832	8191	702	0	0	0	0	310	0	233A400041C01FFF0000			
FourText	Channel 4	3	DVB-T	730000	1	6900000	1	2	25857	0	8218	65535	9018	8768	8191	263	0	0	0	0	1198	0	233A201A22401FFF0000			
F2P Games	MIETV	3	DVB-T	642000	1	6900000	1	2	27393	0	24576	65535	9018	26944	8191	1030	0	0	0	0	4001	0	233A600069401FFF0000			
BBC 5L SportsX	BBC	3	DVB-T	786000	1	6900000	1	2	2	0	16384	65535	9018	17984	431	705	0	431	0	0	320	0	233A4000464001AF0000	431,English		
BBC Radio 4	BBC	3	DVB-T	762000	1	6900000	1	2	2	0	12290	65535	9018	14528	6258	280	0	6258	0	0	6264	0	233A300238C018720000	6258,English		
Smash Hits!	EMAP	3	DVB-T	642000	1	6900000	1	2	2	0	24576	65535	9018	26240	1201	1022	0	1201	0	0	4002	0	233A6000668004B10000	1201,English		
Ch 22	CCI	3	DVB-T	642000	1	6900000	1	2	11521	0	24576	65535	9018	25920	501	1005	501	502	0	0	4000	0	233A6000654001F50000	502,English\504,		
heat	EMAP	3	DVB-T	762000	1	6900000	1	2	2	0	12290	65535	9018	14592	2304	281	0	6306	0	0	6312	0	233A3002390009000000	6306,English		
Ch 14	Channel 4	3	DVB-T	730000	1	6900000	1	2	7425	0	8218	65535	9018	8800	2817	260	2840	2841	0	0	2844	0	233A201A22600B010000	2841,English\2843,English		
f tn	Flextech	3	DVB-T	642000	1	6900000	1	2	10497	0	24576	65535	9018	25856	8191	1004	0	0	0	0	4000	0	233A600065001FFF0000			
Sky News	Sky	3	DVB-T	666000	1	6900000	1	2	21761	0	20480	65535	9018	22080	101	701	101	102	0	0	0	0	233A5000564000650000	102,English\104,English		
BBC 7	BBC	3	DVB-T	786000	1	6900000	1	2	2	0	16384	65535	9018	18112	433	707	0	433	0	0	324	0	233A400046C001B10000	433,English		
five	five	3	DVB-T	762000	1	6900000	1	2	2817	0	12290	65535	9018	12866	2304	256	6017	6018	0	0	6024	0	233A3002324209000000	6018,English\6019,English\6018,English\6019,English		
ITV 2	ITV	3	DVB-T	730000	1	6900000	1	2	3329	0	8218	65535	9018	8346	2816	268	2819	2820	0	0	1082	0	233A201A209A0B000000	2820,English\2822,English		
BBCi	BBC	3	DVB-T	618000	1	6900000	1	2	26369	0	4106	65535	9018	4479	8191	4479	0	0	0	0	653	0	233A100A117F1FFF0000			
